#iter.	 ime 	 mass 	 bozon 	 px1 	 py1 	 pz1 	 px2 	 py2 	 pz2
207. 	b	4.18	0	-3.36	-78.4	-20.58	-2.64	-1.6	-77.42
208. 	W	80.379	1	-54.88	-80.36	19.74	-43.12	-1.64	74.26
209. 	b	4.18	0	-10.08	27.44	-20.58	-7.92	0.56	-77.42
210. 	W	80.379	1	-32.48	-72.52	10.08	-25.52	-1.48	37.92
211. 	Tau	1.777	0	-29.12	76.44	9.24	-22.88	1.56	34.76
212. 	Tau	1.777	0	-25.76	-80.36	-10.08	-20.24	-1.64	-37.92
213. 	b	4.18	0	36.96	90.16	0.84	29.04	1.84	3.16
214. 	Tau	1.777	0	-29.12	13.72	1.26	-22.88	0.28	4.74
215. 	W	80.379	1	-49.28	-82.32	7.98	-38.72	-1.68	30.02
216. 	b	4.18	0	23.52	9.8	-1.26	18.48	0.2	-4.74
217. 	b	4.18	0	-1.12	-13.72	2.1	-0.88	-0.28	7.9
218. 	Tau	1.777	0	-28	62.72	9.66	-22	1.28	36.34
219. 	b	4.18	0	15.68	72.52	2.1	12.32	1.48	7.9
220. 	W	80.379	1	-34.72	-49	-15.96	-27.28	-1	-60.04
221. 	b	4.18	0	-3.36	7.84	20.16	-2.64	0.16	75.84
222. 	b	4.18	0	34.72	-1.96	-19.74	27.28	-0.04	-74.26
223. 	b	4.18	0	4.48	-80.36	10.5	3.52	-1.64	39.5
224. 	W	80.379	1	-42.56	-64.68	-18.06	-33.44	-1.32	-67.94
225. 	Tau	1.777	0	-28	13.72	-17.22	-22	0.28	-64.78
226. 	b	4.18	0	-10.08	94.08	2.94	-7.92	1.92	11.06
227. 	b	4.18	0	3.36	49	14.28	2.64	1	53.72
228. 	b	4.18	0	16.8	58.8	-3.78	13.2	1.2	-14.22
229. 	W	80.379	1	-49.28	3.92	-2.52	-38.72	0.08	-9.48
230. 	Z	91.187	1	-24.64	21.56	19.32	-19.36	0.44	72.68
231. 	W	80.379	1	-42.56	35.28	-4.2	-33.44	0.72	-15.8
232. 	b	4.18	0	24.64	80.36	-6.72	19.36	1.64	-25.28
233. 	b	4.18	0	3.36	50.96	-20.58	2.64	1.04	-77.42
234. 	W	80.379	1	-38.08	-88.2	16.38	-29.92	-1.8	61.62
235. 	b	4.18	0	28	-9.8	0	22	-0.2	0
236. 	b	4.18	0	0	19.6	2.52	0	0.4	9.48
237. 	b	4.18	0	-16.8	35.28	15.54	-13.2	0.72	58.46
238. 	b	4.18	0	5.6	19.6	0	4.4	0.4	0
239. 	b	4.18	0	52.64	17.64	-14.28	41.36	0.36	-53.72
240. 	W	80.379	1	-36.96	-92.12	15.96	-29.04	-1.88	60.04
241. 	b	4.18	0	-15.68	-72.52	12.6	-12.32	-1.48	47.4
242. 	b	4.18	0	3.36	-76.44	0.42	2.64	-1.56	1.58
243. 	b	4.18	0	12.32	90.16	1.68	9.68	1.84	6.32
244. 	Tau	1.777	0	-26.88	21.56	18.48	-21.12	0.44	69.52
245. 	b	4.18	0	-13.44	1.96	-2.52	-10.56	0.04	-9.48
246. 	W	80.379	1	-47.04	29.4	-10.92	-36.96	0.6	-41.08
247. 	W	80.379	1	-50.4	-92.12	0.84	-39.6	-1.88	3.16
248. 	b	4.18	0	-21.28	78.4	7.98	-16.72	1.6	30.02
249. 	b	4.18	0	24.64	-64.68	8.82	19.36	-1.32	33.18
250. 	b	4.18	0	44.8	-86.24	19.74	35.2	-1.76	74.26
251. 	b	4.18	0	-15.68	82.32	12.6	-12.32	1.68	47.4
252. 	b	4.18	0	54.88	-11.76	20.16	43.12	-0.24	75.84
253. 	b	4.18	0	-7.84	-76.44	4.2	-6.16	-1.56	15.8
254. 	b	4.18	0	-19.04	-82.32	-16.8	-14.96	-1.68	-63.2
255. 	b	4.18	0	-4.48	-29.4	3.36	-3.52	-0.6	12.64
256. 	b	4.18	0	-6.72	-84.28	-16.8	-5.28	-1.72	-63.2
257. 	b	4.18	0	-2.24	-96.04	-9.24	-1.76	-1.96	-34.76
258. 	b	4.18	0	30.24	54.88	0	23.76	1.12	0
259. 	b	4.18	0	48.16	-39.2	-0.42	37.84	-0.8	-1.58
260. 	b	4.18	0	34.72	31.36	-19.74	27.28	0.64	-74.26
261. 	b	4.18	0	14.56	-11.76	-19.74	11.44	-0.24	-74.26
262. 	b	4.18	0	32.48	-7.84	12.18	25.52	-0.16	45.82
263. 	b	4.18	0	21.28	-88.2	-1.26	16.72	-1.8	-4.74
264. 	b	4.18	0	7.84	1.96	-18.06	6.16	0.04	-67.94
265. 	b	4.18	0	19.04	-41.16	-0.42	14.96	-0.84	-1.58
266. 	b	4.18	0	6.72	60.76	-15.54	5.28	1.24	-58.46
267. 	Z	91.187	1	-24.64	-70.56	2.1	-19.36	-1.44	7.9
268. 	b	4.18	0	54.88	62.72	12.18	43.12	1.28	45.82
269. 	b	4.18	0	19.04	31.36	-7.14	14.96	0.64	-26.86
270. 	b	4.18	0	45.92	31.36	12.6	36.08	0.64	47.4
271. 	W	80.379	1	-53.76	-37.24	5.46	-42.24	-0.76	20.54
272. 	W	80.379	1	-44.8	13.72	2.1	-35.2	0.28	7.9
273. 	b	4.18	0	-5.6	33.32	16.38	-4.4	0.68	61.62
274. 	W	80.379	1	-42.56	25.48	-3.78	-33.44	0.52	-14.22
275. 	b	4.18	0	14.56	-45.08	-10.5	11.44	-0.92	-39.5
276. 	b	4.18	0	20.16	-15.68	-10.92	15.84	-0.32	-41.08
277. 	Z	91.187	1	-23.52	82.32	7.56	-18.48	1.68	28.44
278. 	b	4.18	0	17.92	-39.2	-12.6	14.08	-0.8	-47.4
279. 	b	4.18	0	2.24	-68.6	-18.9	1.76	-1.4	-71.1
280. 	W	80.379	1	-48.16	5.88	-1.26	-37.84	0.12	-4.74
281. 	b	4.18	0	41.44	98	13.86	32.56	2	52.14
282. 	b	4.18	0	13.44	94.08	-13.44	10.56	1.92	-50.56
283. 	b	4.18	0	3.36	54.88	8.82	2.64	1.12	33.18
284. 	b	4.18	0	26.88	41.16	-13.86	21.12	0.84	-52.14
285. 	b	4.18	0	17.92	-15.68	14.7	14.08	-0.32	55.3
286. 	W	80.379	1	-47.04	-56.84	-3.36	-36.96	-1.16	-12.64
287. 	b	4.18	0	-6.72	-33.32	12.18	-5.28	-0.68	45.82
288. 	b	4.18	0	38.08	15.68	5.04	29.92	0.32	18.96
289. 	W	80.379	1	-48.16	-82.32	-11.34	-37.84	-1.68	-42.66
290. 	b	4.18	0	54.88	78.4	-18.48	43.12	1.6	-69.52
291. 	b	4.18	0	44.8	54.88	20.16	35.2	1.12	75.84
292. 	b	4.18	0	36.96	-80.36	21	29.04	-1.64	79
293. 	b	4.18	0	13.44	-82.32	-4.62	10.56	-1.68	-17.38
294. 	b	4.18	0	3.36	92.12	20.16	2.64	1.88	75.84
295. 	b	4.18	0	-11.2	-49	20.58	-8.8	-1	77.42
296. 	b	4.18	0	-4.48	90.16	-11.34	-3.52	1.84	-42.66
297. 	Tau	1.777	0	-25.76	-7.84	5.88	-20.24	-0.16	22.12
298. 	W	80.379	1	-48.16	-41.16	-15.54	-37.84	-0.84	-58.46
299. 	b	4.18	0	-2.24	-94.08	10.08	-1.76	-1.92	37.92
300. 	b	4.18	0	54.88	82.32	1.68	43.12	1.68	6.32
301. 	b	4.18	0	-19.04	-31.36	-7.98	-14.96	-0.64	-30.02
302. 	b	4.18	0	-14.56	-35.28	-18.48	-11.44	-0.72	-69.52
303. 	b	4.18	0	23.52	5.88	-18.06	18.48	0.12	-67.94
304. 	W	80.379	1	-42.56	-84.28	-8.4	-33.44	-1.72	-31.6
305. 	W	80.379	1	-48.16	9.8	-0.42	-37.84	0.2	-1.58
306. 	b	4.18	0	-14.56	-33.32	-11.76	-11.44	-0.68	-44.24
307. 	b	4.18	0	15.68	7.84	-2.52	12.32	0.16	-9.48
308. 	b	4.18	0	-14.56	37.24	15.54	-11.44	0.76	58.46
309. 	b	4.18	0	1.12	21.56	-11.76	0.88	0.44	-44.24
310. 	b	4.18	0	23.52	-49	18.06	18.48	-1	67.94
311. 	W	80.379	1	-36.96	-54.88	2.94	-29.04	-1.12	11.06
312. 	b	4.18	0	38.08	25.48	3.78	29.92	0.52	14.22
313. 	b	4.18	0	-2.24	-49	13.44	-1.76	-1	50.56
314. 	W	80.379	1	-34.72	-84.28	-15.54	-27.28	-1.72	-58.46
315. 	b	4.18	0	42.56	5.88	1.26	33.44	0.12	4.74
316. 	b	4.18	0	8.96	54.88	10.5	7.04	1.12	39.5
317. 	W	80.379	1	-39.2	13.72	2.1	-30.8	0.28	7.9
318. 	b	4.18	0	-11.2	-76.44	-10.5	-8.8	-1.56	-39.5
319. 	b	4.18	0	6.72	-68.6	-18.48	5.28	-1.4	-69.52
320. 	W	80.379	1	-45.92	11.76	-11.76	-36.08	0.24	-44.24
321. 	W	80.379	1	-34.72	72.52	6.72	-27.28	1.48	25.28
322. 	W	80.379	1	-36.96	80.36	16.8	-29.04	1.64	63.2
323. 	b	4.18	0	43.68	-58.8	-20.58	34.32	-1.2	-77.42
324. 	b	4.18	0	53.76	33.32	-12.6	42.24	0.68	-47.4
325. 	b	4.18	0	26.88	94.08	-5.88	21.12	1.92	-22.12
326. 	Tau	1.777	0	-31.36	21.56	15.54	-24.64	0.44	58.46
327. 	b	4.18	0	3.36	-41.16	0.42	2.64	-0.84	1.58
328. 	b	4.18	0	0	-78.4	17.64	0	-1.6	66.36
329. 	b	4.18	0	47.04	76.44	-1.26	36.96	1.56	-4.74
330. 	b	4.18	0	-19.04	29.4	-8.82	-14.96	0.6	-33.18
331. 	W	80.379	1	-53.76	35.28	-14.28	-42.24	0.72	-53.72
332. 	b	4.18	0	-10.08	-13.72	-20.16	-7.92	-0.28	-75.84
333. 	W	80.379	1	-39.2	-78.4	-10.08	-30.8	-1.6	-37.92
334. 	Z	91.187	1	-23.52	-43.12	-3.36	-18.48	-0.88	-12.64
335. 	Z	91.187	1	-22.4	-86.24	-4.2	-17.6	-1.76	-15.8
336. 	W	80.379	1	-35.84	-92.12	12.18	-28.16	-1.88	45.82
337. 	b	4.18	0	53.76	-86.24	2.52	42.24	-1.76	9.48
338. 	b	4.18	0	13.44	-58.8	-5.46	10.56	-1.2	-20.54
339. 	b	4.18	0	-4.48	-9.8	-15.12	-3.52	-0.2	-56.88
340. 	b	4.18	0	8.96	62.72	18.9	7.04	1.28	71.1
341. 	b	4.18	0	52.64	-62.72	-15.96	41.36	-1.28	-60.04
342. 	b	4.18	0	-13.44	49	-13.44	-10.56	1	-50.56
343. 	b	4.18	0	21.28	-43.12	-5.04	16.72	-0.88	-18.96
344. 	W	80.379	1	-33.6	-90.16	-15.96	-26.4	-1.84	-60.04
345. 	b	4.18	0	36.96	52.92	14.7	29.04	1.08	55.3
346. 	W	80.379	1	-42.56	-47.04	14.28	-33.44	-0.96	53.72
347. 	b	4.18	0	0	98	11.34	0	2	42.66
348. 	b	4.18	0	33.6	13.72	-18.48	26.4	0.28	-69.52
349. 	b	4.18	0	-3.36	-37.24	-6.3	-2.64	-0.76	-23.7
350. 	W	80.379	1	-33.6	33.32	-11.76	-26.4	0.68	-44.24
351. 	b	4.18	0	35.84	-56.84	-2.52	28.16	-1.16	-9.48
352. 	Tau	1.777	0	-28	60.76	-19.32	-22	1.24	-72.68
353. 	b	4.18	0	34.72	74.48	12.6	27.28	1.52	47.4
354. 	W	80.379	1	-42.56	70.56	-11.34	-33.44	1.44	-42.66
355. 	W	80.379	1	-39.2	80.36	-16.8	-30.8	1.64	-63.2
356. 	b	4.18	0	53.76	37.24	-6.3	42.24	0.76	-23.7
357. 	b	4.18	0	19.04	9.8	-13.86	14.96	0.2	-52.14
